"","Ecoli.cutoff","Host.cutoff","index","Coef.Parameter","Coef.Estimate","Coef.Year.2015.Parameter","Coef.Year.2015.Estimate","Coef.betweeness.Parameter","Coef.betweeness.Estimate","Coef.betweeness.Year.2015.Parameter","Coef.betweeness.Year.2015.Estimate","Coef.eigencent.Parameter","Coef.eigencent.Estimate","Coef.eigencent.Year.2015.Parameter","Coef.eigencent.Year.2015.Estimate","Coef.degree.Year.2015.Parameter","Coef.degree.Year.2015.Estimate"
"1","0.9",0.136363636363636,"HWI","Ecoli.degree",1.29065006227752,"Year.2015",-2.21296555047058,"Ecoli.betweenness",4.55990448316552,"Ecoli.betweenness*Year.2015",-4.40600810544249,"Ecoli.evcent",0.0124840839083977,"Year.2015",-0.00275567994770312,"Ecoli.degree*Year.2015",-1.33021046485205
"2","0.94",0.0454545454545455,"SRI","Ecoli.degree",2.36932172144592,"Year.2015",-1.28377522056424,"Ecoli.betweenness",80.3837611272665,"Ecoli.betweenness*Year.2015",-76.6627178206152,"Ecoli.evcent",0.0118125381258305,"Year.2015",-0.021946616487367,"Ecoli.degree*Year.2015",-2.21263714902428
"3","0.94",0.104545454545455,"HWI","Ecoli.degree",2.15511183558048,"Year.2015",-1.93301680088642,"Ecoli.betweenness",167.10526180617,"Ecoli.betweenness*Year.2015",-165.0709904229,"Ecoli.evcent",0.0102562404135212,"Year.2015",-0.0152280899852236,"Ecoli.degree*Year.2015",-2.08277965188141
"4","0.94",0.0651515151515152,"SRI","Ecoli.degree",1.46771507191109,"Year.2015",-2.38212438305722,"Ecoli.betweenness",35.1021211841669,"Ecoli.betweenness*Year.2015",-35.4082637691102,"Ecoli.evcent",0.012361776398422,"Year.2015",-0.00953027125522106,"Ecoli.degree*Year.2015",-1.42508273520302
"5","0.94",0.118181818181818,"SRI","Ecoli.degree",0.471904082704285,"Year.2015",-1.10421946719215,"Ecoli.betweenness",9.19147209328818,"Ecoli.betweenness*Year.2015",-9.17499049954463,"Ecoli.evcent",0.0157594186539359,"Year.2015",-0.0624378759869082,"Ecoli.degree*Year.2015",-0.490095809381996
"6","0.9",0.0681818181818182,"HWI","Ecoli.degree",1.33383945782467,"Year.2015",0.656615391784154,"Ecoli.betweenness",17.2767408795854,"Ecoli.betweenness*Year.2015",-15.7660496010461,"Ecoli.evcent",0.0112567579344457,"Year.2015",-0.0403366733469898,"Ecoli.degree*Year.2015",-2.07946424516593
"7","0.94",0.13030303030303,"SRI","Ecoli.degree",0.571729132396311,"Year.2015",-0.732084440613653,"Ecoli.betweenness",8.36808112105788,"Ecoli.betweenness*Year.2015",-8.35159952731433,"Ecoli.evcent",0.0268408343814861,"Year.2015",-0.055166078931178,"Ecoli.degree*Year.2015",-0.608838756027533
"8","0.94",0.0863636363636364,"HWI","Ecoli.degree",2.33017697085649,"Year.2015",-1.36188643004694,"Ecoli.betweenness",144.887686000283,"Ecoli.betweenness*Year.2015",-137.921554423997,"Ecoli.evcent",0.00933025635761541,"Year.2015",-0.0260482466143812,"Ecoli.degree*Year.2015",-2.1573512073702
"9","0.9",0.0606060606060606,"HWI","Ecoli.degree",1.40713620007396,"Year.2015",1.14766325197131,"Ecoli.betweenness",16.5526843309919,"Ecoli.betweenness*Year.2015",-11.8298989628273,"Ecoli.evcent",0.0109242781850495,"Year.2015",-0.0406836690066077,"Ecoli.degree*Year.2015",-1.96541590928091
"10","0.9",0.0787878787878788,"HWI","Ecoli.degree",0.934136197337408,"Year.2015",-0.146008554235471,"Ecoli.betweenness",22.5526405169066,"Ecoli.betweenness*Year.2015",-23.974688529255,"Ecoli.evcent",0.0087081420964047,"Year.2015",-0.0391283892812555,"Ecoli.degree*Year.2015",-1.48316892565094
"11","0.94",0.0893939393939394,"SRI","Ecoli.degree",0.858100186691758,"Year.2015",-2.17996924728879,"Ecoli.betweenness",10.8640711982283,"Ecoli.betweenness*Year.2015",-10.6856743631385,"Ecoli.evcent",0.0172442611673154,"Year.2015",-0.0601733414437516,"Ecoli.degree*Year.2015",-0.801195267351565
"12","0.94",0.0621212121212121,"HWI","Ecoli.degree",4.19817601028586,"Year.2015",-0.227423840107352,"Ecoli.betweenness",114.23943539633,"Ecoli.betweenness*Year.2015",-102.340360380555,"Ecoli.evcent",0.0125816829879435,"Year.2015",-0.0337734065165652,"Ecoli.degree*Year.2015",-4.2696349231281
"13","0.94",0.0196969696969697,"HWI","Ecoli.degree",1.45304774417463,"Year.2015",11.5781644402032,"Ecoli.betweenness",50.0126144928208,"Ecoli.betweenness*Year.2015",-45.8564440074269,"Ecoli.evcent",0.0126610786433078,"Year.2015",-0.0128488941381621,"Ecoli.degree*Year.2015",-0.974766438333066
"14","0.94",0.0106060606060606,"SRI","Ecoli.degree",2.04001596444932,"Year.2015",11.2107829174136,"Ecoli.betweenness",30.3394592890012,"Ecoli.betweenness*Year.2015",-28.1024303738268,"Ecoli.evcent",0.0143124461340167,"Year.2015",-0.007353134147784,"Ecoli.degree*Year.2015",-1.43685350360193
"15","0.94",0.0681818181818182,"HWI","Ecoli.degree",3.89853665850628,"Year.2015",-0.529468829935995,"Ecoli.betweenness",118.747229086277,"Ecoli.betweenness*Year.2015",-107.46996756009,"Ecoli.evcent",0.0110557630831265,"Year.2015",-0.0360311247943247,"Ecoli.degree*Year.2015",-4.05588133711208
"16","0.9",0.00909090909090909,"SRI","Ecoli.degree",-0.144909738383326,"Year.2015",12.3899483540076,"Ecoli.betweenness",3.99239521648684,"Ecoli.betweenness*Year.2015",-3.11750397522639,"Ecoli.evcent",0.0148002665793697,"Year.2015",-0.0182165465157528,"Ecoli.degree*Year.2015",0.250750814480134
"17","0.9",0.0484848484848485,"SRI","Ecoli.degree",0.961266103338293,"Year.2015",-0.850976084773192,"Ecoli.betweenness",16.2914169275207,"Ecoli.betweenness*Year.2015",-17.6402138385116,"Ecoli.evcent",0.0110233064278332,"Year.2015",-0.029346587192637,"Ecoli.degree*Year.2015",-1.25657878414922
"18","0.94",0.0242424242424242,"SRI","Ecoli.degree",3.77989878078926,"Year.2015",2.90444607022445,"Ecoli.betweenness",37.5080911097075,"Ecoli.betweenness*Year.2015",-32.4851987084559,"Ecoli.evcent",0.0148087895335472,"Year.2015",-0.0168012880187781,"Ecoli.degree*Year.2015",-3.78288902254273
"19","0.94",0.05,"HWI","Ecoli.degree",4.04109104397334,"Year.2015",2.28722742858244,"Ecoli.betweenness",88.9572841689201,"Ecoli.betweenness*Year.2015",-77.0200677930399,"Ecoli.evcent",0.0128677264587658,"Year.2015",-0.0242977023011874,"Ecoli.degree*Year.2015",-3.93180333038225
"20","0.94",0.101515151515152,"HWI","Ecoli.degree",2.10578836990961,"Year.2015",-2.03676351248186,"Ecoli.betweenness",159.728222233183,"Ecoli.betweenness*Year.2015",-157.888559492656,"Ecoli.evcent",0.00870198302853759,"Year.2015",-0.0177248766070528,"Ecoli.degree*Year.2015",-2.01012952748146
"21","0.94",0.101515151515152,"HWI","Ecoli.degree",2.10578836990961,"Year.2015",-2.03676351248186,"Ecoli.betweenness",159.728222233183,"Ecoli.betweenness*Year.2015",-157.888559492656,"Ecoli.evcent",0.00870198302853759,"Year.2015",-0.0177248766070528,"Ecoli.degree*Year.2015",-2.01012952748146
"22","0.9",0.0666666666666667,"HWI","Ecoli.degree",1.39838775297373,"Year.2015",0.704643318059994,"Ecoli.betweenness",17.578562171985,"Ecoli.betweenness*Year.2015",-16.7471661453301,"Ecoli.evcent",0.0112766270420691,"Year.2015",-0.0407428094926827,"Ecoli.degree*Year.2015",-2.09172492864358
"23","0.94",0.0924242424242424,"SRI","Ecoli.degree",1.16441403397675,"Year.2015",-2.19369968007201,"Ecoli.betweenness",10.3581490575477,"Ecoli.betweenness*Year.2015",-10.1902775922617,"Ecoli.evcent",0.0172442611426422,"Year.2015",-0.0601733414028526,"Ecoli.degree*Year.2015",-1.09383895608532
"24","0.9",0.0333333333333333,"SRI","Ecoli.degree",1.51372603127852,"Year.2015",0.426558136877991,"Ecoli.betweenness",9.06011061689167,"Ecoli.betweenness*Year.2015",-8.42743972890914,"Ecoli.evcent",0.0123255155913154,"Year.2015",-0.0375159069993132,"Ecoli.degree*Year.2015",-2.13141630741074
