,uniquegroup,Date,Field,GroupNumber,TotalGroupSize,NoFemales,NoMales,Name,ReproStatus,Latitude,Longitude,NNID,NNDistance,GroupPosition,Density,Photo,QualityOfData,Nursing.,Initials,SurveyNumber,ExtraNotes,SurveyMonth,YAF.added.,Raw.Lat,Raw.Long,GroupSize,Month,Year
28696,SN565GN1,12-01-14,D,1,1,1,0,Ester,YAF,-28.91965,151.57805,,,,,,NA,,NF,565,Clemmie's Dec 2013 survey ends 544_ why then does mine end in 564?,1401,,,NA,1,2014-01,2014
28699,SN565GN12,13-01-14,F,12,13,10,3,Cashew,SF,-28.91765,151.5764333,Gareth,10,P,0,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28701,SN565GN12,13-01-14,J,12,13,10,3,Bene,NPY,-28.917483,151.5761833,Lottie,5,P,1,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28703,SN565GN12,13-01-14,J,12,13,10,3,Milo,NPY,-28.917333,151.5759833,Lottie,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28704,SN565GN12,13-01-14,j,12,13,10,3,Hazel,NPY,-28.91735,151.5758667,Alison,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28705,SN565GN12,13-01-14,J,12,13,10,3,Alison,YAF,-28.917367,151.5758667,Hazel,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28707,SN565GN12,13-01-14,J,12,13,10,3,Naomi,NPY,-28.9174,151.5758333,Tilly,3,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28709,SN565GN12,13-01-14,J,12,13,10,3,Twinkie,Male,-28.91745,151.5757833,June,3,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28713,SN565GN14,13-01-14,J,14,4,3,1,Sadie,NPY,-28.917417,151.5754667,Dil,3,P,1,,1,,NF,565,,1401,,,NA,1,2014-01,2014
28719,SN565GN17,13-01-14,K,17,6,5,1,Nina,SPY,-28.918367,151.5739667,Johnny,1,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28721,SN565GN17,13-01-14,I,17,6,5,1,Michelle,MPY,-28.919483,151.5737333,Ellie,4,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28723,SN565GN17,13-01-14,I,17,6,5,1,Themeda,NPY,-28.9196,151.5737667,Ellie,2,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28724,SN565GN19,13-01-14,I,19,1,1,0,Francis,NPY,-28.92015,151.57345,,,,,,NA,,NF,565,,1401,,,NA,1,2014-01,2014
28725,SN565GN2,12-01-14,E,2,3,1,2,Dot,NPY,-28.919367,151.5788167,,,,,,NA,,NF,565,Timestamp is incorrect because the time is wrong,1401,,,NA,1,2014-01,2014
28726,SN565GN3,12-01-14,F,3,4,2,2,Qantas,SPY,-28.917617,151.5784833,,3,P,2,,1,,NF,565,,1401,,,NA,3,2014-01,2014
28728,SN565GN3,12-01-14,F,3,4,2,2,Celine,NPY,-28.9175,151.5783333,Qantas,8,P,1,,1,,NF,565,,1401,,,NA,3,2014-01,2014
28730,SN565GN4,13-01-14,F,4,6,3,3,Tim,Male,-28.9174,151.5778,Longnose,2,P,2,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28731,SN565GN4,13-01-14,F,4,6,3,3,Longnose,SPY,-28.91735,151.5777167,Tim,4,P,2,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28734,SN565GN4,13-01-14,F,4,6,3,3,Enid,LPY,-28.917083,151.5774667,Paulie,4,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28735,SN565GN5,13-01-14,G,5,6,4,2,Zaza,NPY,-28.9162,151.05,Celandine,3,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28739,SN565GN5,13-01-14,G,5,6,4,2,Chad,Male,-28.9116,151.5779,Candice,4,P,,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28740,SN565GN5,13-01-14,G,5,6,4,2,Candice,YAF/SPY,-28.916083,151.5779333,Chad,4,P,1,,1,,NF,565,,1401,,,NA,6,2014-01,2014
28744,SN565GN7,13-01-14,G,7,2,2,0,Maude,SF,-28.915417,151.5781333,Joy,2,P,1,,1,,NF,565,,1401,,,NA,2,2014-01,2014
28746,SN565GN9,13-01-14,M,9,11,9,2,Blondie,NPY,-28.916167,151.57835,Boomer,2,P,2,,1,,NF,565,,1401,,,NA,11,2014-01,2014
28749,SN565GN9,13-01-14,M,9,11,9,2,Nacho,SF,-28.916367,151.5784833,Mindi,3,P,3,,1,,NF,565,,1401,,,NA,11,2014-01,2014
28754,SN565GN9,13-01-14,M,9,11,9,2,Sally,YAF,-28.9166,151.5789,Nigella,4,P,1,,1,,NF,565,,1401,,,NA,11,2014-01,2014
28755,SN565GN9,13-01-14,M,9,11,9,2,Daniela,NPY,-28.9166,151.5789167,Celandine,3,P,3,,1,,NF,565,,1401,,,NA,11,2014-01,2014
28756,SN565GN9,13-01-14,M,9,11,9,2,Julia,SF,-28.916517,151.5783833,Blondie,2,P,2,,1,,NF,565,,1401,,,NA,11,2014-01,2014
28760,SN566GN1,13-01-14,I,1,7,5,2,Goggles,NPY,-28.9197,151.5750833,june,2,P,1,,1,,NF,566,,1401,,,NA,7,2014-01,2014
28762,SN566GN1,13-01-14,i,1,7,5,2,Regan,Male,-28.919717,151.5748167,Martha,5,P,1,,1,,NF,566,,1401,,,NA,7,2014-01,2014
28766,SN566GN11,13-01-14,F,11,6,5,1,Hazel,NPY,-28.9175,151.57885,Dot,5,P,1,,1,,NF,566,,1401,,,NA,6,2014-01,2014
28767,SN566GN11,13-01-14,F,11,6,5,1,Dot,NPY,-28.9175,151.57885,Cashew,4,P,2,,1,,NF,566,,1401,,,NA,6,2014-01,2014
28768,SN566GN11,13-01-14,F,11,6,5,1,Cashew,SF,-28.9175,151.57885,Robin,3,P,2,,1,,NF,566,,1401,,,NA,6,2014-01,2014
28771,SN566GN12,13-01-14,F,12,2,1,1,Dash,NPY,-28.917517,151.5784833,Tony,2,P,1,,1,,NF,566,,1401,,,NA,2,2014-01,2014
