,uniquegroup,Date,Field,GroupNumber,TotalGroupSize,NoFemales,NoMales,Name,ReproStatus,Latitude,Longitude,NNID,NNDistance,GroupPosition,Density,Photo,QualityOfData,Nursing.,Initials,SurveyNumber,ExtraNotes,SurveyMonth,YAF.added.,Raw.Lat,Raw.Long,GroupSize,Month,Year
28696,SN565GN1,12/01/2014,D,1,1,1,0,Ester,YAF,-28.91965,151.57805,,,,,,NA,,NF,565,Clemmie's Dec 2013 survey ends 544_ why then does mine end in 564?,1401,,,NA,1,2014-01,2014
28697,SN565GN10,13/01/2014,F,10,1,0,1,Quokka,Male,-28.916967,151.5785,,,,,,NA,,NF,565,,1401,,,NA,1,2014-01,2014
28698,SN565GN11,13/01/2014,A,11,1,1,0,Magic,NPY,-28.918,151.5770333,Paulie,4,P,1,,1,,NF,565,,1401,,,NA,1,2014-01,2014
28699,SN565GN12,13/01/2014,F,12,13,10,3,Cashew,SF,-28.91765,151.5764333,Gareth,10,P,0,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28700,SN565GN12,13/01/2014,J,12,13,10,3,Gareth,Male,-28.9176,151.5762833,Lottie,5,P,1,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28701,SN565GN12,13/01/2014,J,12,13,10,3,Bene,NPY,-28.917483,151.5761833,Lottie,5,P,1,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28702,SN565GN12,13/01/2014,J,12,13,10,3,Lottie,SF,-28.917483,151.5761833,Bene,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28703,SN565GN12,13/01/2014,J,12,13,10,3,Milo,NPY,-28.917333,151.5759833,Lottie,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28704,SN565GN12,13/01/2014,j,12,13,10,3,Hazel,NPY,-28.91735,151.5758667,Alison,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28705,SN565GN12,13/01/2014,J,12,13,10,3,Alison,YAF,-28.917367,151.5758667,Hazel,2,P,2,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28706,SN565GN12,13/01/2014,J,12,13,10,3,Tilly,NPY,-28.9174,151.5758333,Naomi,2,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28707,SN565GN12,13/01/2014,J,12,13,10,3,Naomi,NPY,-28.9174,151.5758333,Tilly,3,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28708,SN565GN12,13/01/2014,J,12,13,10,3,June,YAF,-28.91745,151.5757833,Twinkie,3,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28709,SN565GN12,13/01/2014,J,12,13,10,3,Twinkie,Male,-28.91745,151.5757833,June,3,C,3,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28710,SN565GN12,13/01/2014,J,12,13,10,3,Dil,Male,-28.91745,151.5757833,Jo,5,P,1,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28711,SN565GN12,13/01/2014,J,12,13,10,3,Jo,NPY,-28.91755,151.5757333,Dil,5,P,1,,1,,NF,565,,1401,,,NA,13,2014-01,2014
28712,SN565GN13,13/01/2014,B,13,1,1,0,Apanie,,-28.917767,151.5757833,,,,,,NA,,NF,565,,1401,,,NA,1,2014-01,2014
28713,SN565GN14,13/01/2014,J,14,4,3,1,Sadie,NPY,-28.917417,151.5754667,Dil,3,P,1,,1,,NF,565,,1401,,,NA,1,2014-01,2014
28714,SN565GN15,13/01/2014,J,15,2,2,0,Pickles,SPY,-28.91805,151.5743667,Cotton,5,P,1,,1,,NF,565,,1401,,,NA,2,2014-01,2014
28715,SN565GN15,13/01/2014,J,15,2,2,0,Cotton,NPY,-28.918117,151.5744333,Pickles,5,P,1,,1,,NF,565,,1401,,,NA,2,2014-01,2014
28716,SN565GN16,13/01/2014,J,16,2,1,1,Nikita,LPY,-28.917883,151.5741167,,,,,,NA,,NF,565,,1401,,,NA,2,2014-01,2014
