Key,UseI,Sample,Name,year,S1,S2,S3
EK137-2,S045,EK137,Julia,2015,A053,B033,C042
EK137-5,S045,EK137,Julia,2015,A053,B033,C042
EK135-5,S150,EK135,Bene,2015,A013,B033,C042
EK113-2,S044,EK113,Gogo,2015,A052,B032,C042
EK116-1,S044,EK116,Genevieve,2015,A052,B032,C042
EK114-1,S148,EK114,Candice,2015,A052,B032,C042
EK118-6,S046,EK118,Syrup,2015,A052,B032,C042
EK118-9,S046,EK118,Syrup,2015,A052,B032,C042
EK118-10,S046,EK118,Syrup,2015,A052,B032,C042
EK88-6,S048,EK88,Nina,2015,A051,B101,C082
EK88-8,S048,EK88,Nina,2015,A051,B101,C082
EK14-1,S056,EK14,Indi,2014,A049,B001,C043
EK14-2,S056,EK14,Indi,2014,A049,B001,C043
EK14-3,S059,EK14,Indi,2014,A049,B001,C043
EK14-6,S059,EK14,Indi,2014,A049,B001,C043
EK14-4,S059,EK14,Indi,2014,A049,B001,C043
EK138-4,S056,EK138,Celine,2015,A049,B001,C043
EK138-5,S059,EK138,Celine,2015,A049,B004,C043
EK14-5,S059,EK14,Indi,2014,A049,B004,C043
EK14-10,S061,EK14,Indi,2014,A004,B005,C043
EK14-7,S061,EK14,Indi,2014,A004,B005,C043
EK138-2,S060,EK138,Celine,2015,A050,B002,C043
EK138-9,S060,EK138,Celine,2015,A050,B002,C043
EK138-10,S060,EK138,Celine,2015,A050,B002,C043
EK138-6,S060,EK138,Celine,2015,A050,B002,C043
EK138-8,S060,EK138,Celine,2015,A050,B002,C043
EK14-8,S056,EK14,Indi,2014,A050,B003,C043
EK14-9,S056,EK14,Indi,2014,A050,B003,C043
EK138-3,S188,EK138,Celine,2015,A050,B006,C043
EK100-4,S185,EK100,Gina,2015,A107,B110,C067
EK126-1,S186,EK126,Twinkie,2015,A108,B109,C068
EK134-9,S191,EK134,Mike,2015,A112,B122,C069
EK95-2,S189,EK95,Daring,2015,A111,B123,C070
EK39-3,S189,EK39,Sally,2014,A109,B125,C071
EK53-1,S190,EK53,Dash,2015,A110,B124,C072
EK35-8,S161,EK35,Cashew,2014,A098,B017,C038
EK68-2,S182,EK68,Blondie,2015,A098,B017,C038
EK68-1,S181,EK68,Blondie,2015,A099,B020,C038
EK58-4,S182,EK58,Stripes,2015,A100,B021,C038
EK06-3,S161,EK06,Abigail,2014,A096,B019,C037
EK10-5,S160,EK10,Bubbles,2014,A097,B018,C037
EK19-1,S112,EK19,Nancy,2014,A046,B016,C039
EK41-1,S024,EK41,Alison,2014,A046,B016,C039
EK67-1,S024,EK67,Chips,2015,A046,B016,C039
EK124-3,S023,EK124,Brigit,2015,A046,B016,C039
EK13-5,S023,EK13,Nylon,2014,A046,B016,C039
EK62-10,S112,EK62,Hazel,2015,A046,B016,C039
EK64-3,S245,EK64,Tyrone,2015,A101,B143,C063
EK135-4,S057,EK135,Bene,2015,A047,B105,C040
EK80-8,S057,EK80,Therese,2015,A047,B105,C040
EK07-3,S055,EK07,Amanda,2014,A048,B065,C041
EK119-2,S055,EK119,Shaddow,2015,A048,B065,C041
EK98-3,S183,EK98,Ester,2015,A048,B065,C041
EK10-4,S244,EK10,Bubbles,2014,A102,B132,C041
EK64-2,S180,EK64,Tyrone,2015,A103,B133,C041
EK27-1,S184,EK27,Jacquei,2014,A104,B146,C064
EK125-3,a105,EK125,Longnose,2015,A105,B147,C065
EK36-3,S132,EK36,Zaza,2014,A092,B090,C032
EK36-8,S083,EK36,Zaza,2014,A093,B089,C032
EK84-4,S035,EK84,Chilli,2015,A039,B088,C033
EK84-7,S035,EK84,Chilli,2015,A039,B088,C033
EK12-5,S002,EK12,Longnose,2014,A038,B022,C031
EK34-1,S002,EK34,Hazel,2014,A038,B022,C031
EK34-10,S002,EK34,Hazel,2014,A038,B022,C031
EK34-2,S002,EK34,Hazel,2014,A038,B022,C031
EK34-4,S002,EK34,Hazel,2014,A038,B022,C031
EK34-5,S002,EK34,Hazel,2014,A038,B022,C031
EK34-6,S002,EK34,Hazel,2014,A038,B022,C031
EK34-7,S002,EK34,Hazel,2014,A038,B022,C031
EK34-9,S002,EK34,Hazel,2014,A038,B022,C031
EK12-6,S066,EK12,Longnose,2014,A037,B023,C030
EK12-9,S066,EK12,Longnose,2014,A037,B023,C030
EK12-3,S066,EK12,Longnose,2014,A037,B023,C030
EK112-4,S032,EK112,Beans,2015,A032,B049,C024
EK116-2,S032,EK116,Genevieve,2015,A032,B049,C024
EK112-10,S032,EK112,Beans,2015,A032,B049,C024
EK112-8,S032,EK112,Beans,2015,A032,B049,C024
EK112-2,A091,EK112,Beans,2015,A032,B049,C024
EK112-6,S122,EK112,Beans,2015,A032,B049,C024
EK29-1,S121,EK29,Firefly,2014,A032,B136,C024
EK36-1,S123,EK36,Zaza,2014,A032,B139,C024
EK10-9,S120,EK10,Bubbles,2014,A086,B140,C024
EK81-2,S082,EK81,Chad,2015,A087,B142,C024
EK120-2,S036,EK120,Pearl,2015,A089,B079,C025
EK120-3,S036,EK120,Pearl,2015,A089,B079,C025
EK111-1,S134,EK111,Ditto,2015,A088,B079,C025
EK134-3,S013,EK134,Mike,2015,A033,B104,C026
EK134-6,S013,EK134,Mike,2015,A033,B104,C026
EK125-7,S014,EK125,Longnose,2015,A035,B010,C027
EK125-8,S014,EK125,Longnose,2015,A035,B010,C027
EK125-9,S014,EK125,Longnose,2015,A035,B010,C027
EK58-5,S075,EK58,Stripes,2015,A035,B013,C027
EK84-3,S009,EK84,Chilli,2015,A034,B009,C027
EK84-6,S009,EK84,Chilli,2015,A034,B009,C027
EK84-1,S009,EK84,Chilli,2015,A034,B009,C027
EK134-5,S012,EK134,Mike,2015,A034,B009,C027
EK66-2,S012,EK66,Qantas,2015,A034,B011,C027
EK84-9,S009,EK84,Chilli,2015,A034,B011,C027
EK84-8,S009,EK84,Chilli,2015,A034,B011,C027
EK36-6,S009,EK36,Zaza,2014,A034,B012,C027
EK89-1,S009,EK89,Milo,2015,A034,B012,C027
EK66-3,S009,EK66,Qantas,2015,A034,B012,C027
EK89-3,S015,EK89,Milo,2015,A036,B051,C028
EK89-7,S015,EK89,Milo,2015,A036,B051,C028
EK89-2,S015,EK89,Milo,2015,A036,B051,C028
EK89-10,S015,EK89,Milo,2015,A036,B051,C028
EK89-6,S015,EK89,Milo,2015,A036,B051,C028
EK89-4,S015,EK89,Milo,2015,A036,B051,C028
EK111-5,S145,EK111,Ditto,2015,A090,B115,C029
EK112-1,A091,EK112,Beans,2015,A091,B114,C029
EK54-3,S020,EK54,Jacquei,2015,A030,B045,C022
EK54-7,S020,EK54,Jacquei,2015,A030,B045,C022
EK54-4,S020,EK54,Jacquei,2015,A030,B045,C022
EK54-9,S020,EK54,Jacquei,2015,A030,B045,C022
EK119-3,S106,EK119,Shaddow,2015,A082,B046,C022
EK06-5,S095,EK06,Abigail,2014,A029,B047,C021
EK43-1,S095,EK43,Daniela,2014,A029,B047,C021
EK136-2,S234,EK136,Ross,2015,A084,B015,C023
EK58-6,S234,EK58,Stripes,2015,A083,B015,C023
EK58-2,S231,EK58,Stripes,2015,A031,B014,C023
EK59-4,S231,EK59,Abigail,2015,A031,B014,C023
EK39-2,S231,EK39,Sally,2014,A031,B014,C023
EK18-1,S019,EK18,Francis,2014,A031,B014,C023
EK28-2,S019,EK28,Maude,2014,A031,B014,C023
EK83-6,S233,EK83,Nancy,2015,A031,B014,C023
EK98-4,S233,EK98,Ester,2015,A031,B014,C023
EK83-2,S233,EK83,Nancy,2015,A031,B014,C023
EK83-3,S233,EK83,Nancy,2015,A031,B014,C023
EK83-5,S232,EK83,Nancy,2015,A031,B014,C023
EK83-8,S232,EK83,Nancy,2015,A031,B014,C023
EK28-1,S092,EK28,Maude,2014,A085,B144,C062
EK120-5,S037,EK120,Pearl,2015,A040,B111,C034
EK120-7,S037,EK120,Pearl,2015,A040,B111,C034
EK111-6,S157,EK111,Ditto,2015,A095,B107,C080
EK59-1,S084,EK59,Abigail,2015,A094,B108,C081
EK37-6,S043,EK37,Sadie,2014,A042,B082,C035
EK37-8,S043,EK37,Sadie,2014,A042,B082,C035
EK37-7,S043,EK37,Sadie,2014,A042,B127,C035
EK116-8,S152,EK116,Genevieve,2015,A042,B092,C035
EK38-5,S151,EK38,Fiona,2014,A042,B092,C035
EK37-4,S042,EK37,Sadie,2014,A041,B095,C035
EK37-9,S042,EK37,Sadie,2014,A041,B095,C035
EK148-2,S041,EK148,Brie,2015,A043,B062,C035
EK148-4,S041,EK148,Brie,2015,A043,B062,C035
EK148-3,S138,EK148,Brie,2015,A043,B062,C035
EK148-5,S041,EK148,Brie,2015,A043,B062,C035
EK61-2,S047,EK61,Cashew,2015,A045,B034,C036
EK62-9,S047,EK62,Hazel,2015,A045,B034,C036
EK61-7,S047,EK61,Cashew,2015,A045,B034,C036
EK62-8,S047,EK62,Hazel,2015,A045,B034,C036
