"","Abigail","Alison","Amanda","Bene","Bubbles","Carla","Cashew","Daniela","Dot","Enid","Ester","Fiona","Firefly","Francis","Goggles","Granite","Hazel","Indi","Jacquei","Longnose","Maude","Nancy","Naomi","Nylon","Sadie","Sally","TeenMom","Themeda","Zaza"
"Abigail",0,252.143636105781,33.7981751127529,175.469326773497,297.351250834419,551.401041799523,18.1840954750559,20.0026166634983,44.0435814111374,151.571826349126,38.0509897282639,319.446284118416,344.267126101733,347.837851783836,372.852554590176,617.821278937308,36.9385391953118,531.478668805084,113.087104162172,291.905497375969,104.313005862119,177.944205422728,178.439485569603,362.565391941118,322.804532296527,105.936819619006,490.224390672073,477.626327788548,55.0005713797948
"Alison",252.143636105781,0,233.671132546304,134.331948263094,106.556849360835,396.818966512887,251.105116726763,248.177978281111,290.742704549523,102.707402493303,215.486464545469,140.109622341866,146.394618273469,197.136202319065,217.671316955175,494.253800716911,242.017385472473,378.625646615874,365.07830055487,160.546922816397,149.195706212111,144.191367688517,128.286440267665,212.311523140525,142.238311920464,154.892344192141,349.166401660219,317.655503858031,307.051114278102
"Amanda",33.7981751127529,233.671132546304,0,175.185890279623,289.796059565722,555.074779510004,48.8879483866035,17.1871215473798,57.9382647586723,131.117984435362,24.4556052793932,314.514000397581,337.602675203752,347.961138111637,373.175884794605,626.526153863633,62.3578175512373,535.166220677592,137.272229367951,292.038893513953,84.6599294201056,179.686908547376,177.077862119748,363.249756511409,317.843470997121,100.516925902909,495.009510823489,479.528152480746,78.5973567837138
"Bene",175.469326773497,134.331948263094,175.185890279623,0,128.349210342078,380.222159876517,165.507350674406,182.236428350151,219.510164962271,104.928036819982,150.844514447128,145.690616598208,172.361325359856,173.003040720387,198.173084756554,456.088759147377,148.885183277995,360.340162179566,276.563168270168,117.004705005509,112.407262576181,11.1803154267816,6.14000273519613,188.141212486227,149.038701887106,75.510587361913,320.865293392658,304.343803846405,225.953726812974
"Bubbles",297.351250834419,106.556849360835,289.796059565722,128.349210342078,0,292.453397988105,289.94770071264,300.31687747556,340.712279292692,175.090046217183,266.926107296759,33.6110463937381,48.1866178370097,91.082659990507,111.11688422288,387.847348565155,274.913290535766,273.796203391831,403.365439043307,67.0296504855548,210.311031321094,131.310508942494,123.566138190888,105.918017794938,35.9348542766736,191.546380780668,242.912959897553,213.009436041504,350.408024457847
"Carla",551.401041799523,396.818966512887,555.074779510004,380.222159876517,292.453397988105,0,538.413237017522,560.837094039497,594.850250387148,461.57700581594,530.638284017792,259.38645472557,250.643529292821,210.610645093017,185.904126324651,112.468771262492,519.436432049268,19.9262482196592,637.026055091272,264.873556838814,487.839684627154,375.393737852114,378.91727599517,194.561410114558,256.722074343378,455.686398337837,63.0719132119177,79.4536913753109,596.12418416226
"Cashew",18.1840954750559,251.105116726763,48.8879483866035,165.507350674406,289.94770071264,538.413237017522,0,37.663583424263,56.764998075374,152.901196025955,44.6687323709438,310.655933064309,336.227540169719,336.64678620489,361.507985567657,602.98529171066,19.885121241817,518.505868190835,115.089391459423,280.90592125498,106.440823334968,167.02696211295,168.945113448399,351.093278430004,314.014873644687,100.133939691664,476.879928962326,465.426233171003,60.5746327117322
"Daniela",20.0026166634983,248.177978281111,17.1871215473798,182.236428350151,300.31687747556,560.837094039497,37.663583424263,0,42.5647270722424,146.020479366119,33.6570998028962,323.971786699964,347.818756950886,355.228940976037,380.379853230271,629.828938437561,54.721925915666,540.912422474765,120.542834111693,299.22391271851,98.9953305354623,185.82201279535,184.626491829544,370.277745098953,327.318023338258,109.282548432051,500.20573377922,486.087207922881,61.7005583333662
"Dot",44.0435814111374,290.742704549523,57.9382647586723,219.510164962271,340.712279292692,594.850250387148,56.764998075374,42.5647270722424,0,188.534357748129,75.7523679261861,363.269987632509,387.845516673448,391.837436803973,416.832974507263,659.688719629663,76.3990162635767,574.934526880844,80.86017996005,335.920828730608,141.557775436305,221.945011060782,222.450633413713,406.523327370829,366.626694908732,149.166880364575,533.458547944903,521.410849404164,25.7871881679125
"Enid",151.571826349126,102.707402493303,131.117984435362,104.928036819982,175.090046217183,461.57700581594,152.901196025955,146.020479366119,188.534357748129,0,114.044296126763,205.218713442171,222.867489185637,251.24311385036,275.69494833858,547.512807976218,147.145722024174,442.167202610912,264.595854451332,199.575634329054,47.3106689347988,115.513601180873,101.883023102416,267.376308217365,208.289551957325,69.8882955982756,406.480897069484,382.703642987851,205.983986541714
"Ester",38.0509897282639,215.486464545469,24.4556052793932,150.844514447128,266.926107296759,530.638284017792,44.6687323709438,33.6570998028962,75.7523679261861,114.044296126763,0,291.027185219022,314.545430247211,323.712833608678,348.917976906667,602.220902087417,50.3589854384089,510.728263129378,150.635734735176,267.762706997639,66.7369079519344,155.245803442016,152.836008396126,338.95572537974,294.365910674479,76.5502623700463,470.553954211775,455.168569318836,91.9404456379755
"Fiona",319.446284118416,140.109622341866,314.514000397581,145.690616598208,33.6110463937381,259.38645472557,310.655933064309,323.971786699964,363.269987632509,205.218713442171,291.027185219022,0,29.4576170446004,58.6383210232179,77.5871487381598,354.237351532681,294.488275163466,240.586025355495,422.228581118101,52.1239853860917,237.668639863749,146.290007942552,141.826081108718,72.8286957021172,3.35968380550085,214.68927975941,209.312214896359,179.936914277865,371.219722204722
"Firefly",344.267126101733,146.394618273469,337.602675203752,172.361325359856,48.1866178370097,250.643529292821,336.227540169719,347.818756950886,387.845516673448,222.867489185637,314.545430247211,29.4576170446004,0,69.8439297003927,80.7227105724979,350.859267565354,320.595355944585,232.72607721849,448.75823528028,80.4314895545208,258.49159914409,173.770890194467,168.116837083006,79.8745691939845,26.678181374519,238.753435333367,205.754324957964,171.791829425333,396.786684658901
"Francis",347.837851783836,197.136202319065,347.961138111637,173.003040720387,91.082659990507,210.610645093017,336.64678620489,355.228940976037,391.837436803973,251.24311385036,323.712833608678,58.6383210232179,69.8439297003927,0,25.2326530584439,299.203644492632,318.766602795417,191.061275352376,443.01875011514,56.0061659410236,277.606276468924,169.894225248435,170.884671536786,16.1416354316134,57.4217880186211,247.612421172696,155.742193537656,132.542180960366,396.359495467087
"Goggles",372.852554590176,217.671316955175,373.175884794605,198.173084756554,111.11688422288,185.904126324651,361.507985567657,380.379853230271,416.832974507263,275.69494833858,348.917976906667,77.5871487381598,80.7227105724979,25.2326530584439,0,276.929440782618,343.510957597522,166.473642401673,467.240269736204,81.1696752615328,302.692310359917,194.917685647209,196.098026200713,10.8540390906233,75.6149205747938,272.840847135801,132.467486715211,107.476429897059,421.09044327284
"Granite",617.821278937308,494.253800716911,626.526153863633,456.088759147377,387.847348565155,112.468771262492,602.98529171066,629.828938437561,659.688719629663,547.512807976218,602.220902087417,354.237351532681,350.859267565354,299.203644492632,276.929440782618,0,583.290176105908,124.374722601866,691.226062745988,347.978359697895,567.695346365534,449.324543731571,455.99290729669,283.319575436785,352.030993722408,530.757222916807,145.237081393812,181.687553199463,657.125044332334
"Hazel",36.9385391953118,242.017385472473,62.3578175512373,148.885183277995,274.913290535766,519.436432049268,19.885121241817,54.721925915666,76.3990162635767,147.145722024174,50.3589854384089,294.488275163466,320.595355944585,318.766602795417,343.510957597522,583.290176105908,0,499.540337715555,128.504895833121,263.212609100561,102.60964299504,149.676287678823,152.672194635316,333.025486831391,297.842095339213,88.1443440319794,457.748841415199,446.874941734327,77.5942945338327
"Indi",531.478668805084,378.625646615874,535.166220677592,360.340162179566,273.796203391831,19.9262482196592,518.505868190835,540.912422474765,574.934526880844,442.167202610912,510.728263129378,240.586025355495,232.72607721849,191.061275352376,166.473642401673,124.374722601866,499.540337715555,0,617.312922502184,245.11999275166,468.117470281976,355.482837508783,359.059461045574,174.981272319898,237.977635013694,435.813004976932,44.0476039468381,60.9735473822712,576.256210027995
"Jacquei",113.087104162172,365.07830055487,137.272229367951,276.563168270168,403.365439043307,637.026055091272,115.089391459423,120.542834111693,80.86017996005,264.595854451332,150.635734735176,422.228581118101,448.75823528028,443.01875011514,467.240269736204,691.226062745988,128.504895833121,617.312922502184,0,388.323658696166,217.296681926156,276.36057681306,280.650912114508,456.547466447573,425.571903190693,215.15484784118,574.352262568805,567.630541492721,58.9388114312158
"Longnose",291.905497375969,160.546922816397,292.038893513953,117.004705005509,67.0296504855548,264.873556838814,280.90592125498,299.22391271851,335.920828730608,199.575634329054,267.762706997639,52.1239853860917,80.4314895545208,56.0061659410236,81.1696752615328,347.978359697895,263.212609100561,245.11999275166,388.323658696166,0,223.019489036825,113.987887457834,114.97152978769,71.2291103358929,54.241061534214,191.783205051451,207.549249459357,187.81784369678,340.797391305048
"Maude",104.313005862119,149.195706212111,84.6599294201056,112.407262576181,210.311031321094,487.839684627154,106.440823334968,98.9953305354623,141.557775436305,47.3106689347988,66.7369079519344,237.668639863749,258.49159914409,277.606276468924,302.692310359917,567.695346365534,102.60964299504,468.117470281976,217.296681926156,223.019489036825,0,120.627341912766,111.893855293328,293.495153748075,240.912691406096,45.7492000563853,430.202380633229,410.144773338477,158.674646108827
"Nancy",177.944205422728,144.191367688517,179.686908547376,11.1803154267816,131.310508942494,375.393737852114,167.02696211295,185.82201279535,221.945011060782,115.513601180873,155.245803442016,146.290007942552,173.770890194467,169.894225248435,194.917685647209,449.324543731571,149.676287678823,355.482837508783,276.36057681306,113.987887457834,120.627341912766,0,16.4100471451516,184.670623922781,149.607443106314,81.4476049004142,315.450045173415,300.265255693339,227.149334612882
"Naomi",178.439485569603,128.286440267665,177.077862119748,6.14000273519613,123.566138190888,378.91727599517,168.945113448399,184.626491829544,222.450633413713,101.883023102416,152.836008396126,141.826081108718,168.116837083006,170.884671536786,196.098026200713,455.99290729669,152.672194635316,359.059461045574,280.650912114508,114.97152978769,111.893855293328,16.4100471451516,0,186.19587358156,145.181518468024,76.8695228988548,319.938524149823,302.637312462988,229.47331376167
"Nylon",362.565391941118,212.311523140525,363.249756511409,188.141212486227,105.918017794938,194.561410114558,351.093278430004,370.277745098953,406.523327370829,267.376308217365,338.95572537974,72.8286957021172,79.8745691939845,16.1416354316134,10.8540390906233,283.319575436785,333.025486831391,174.981272319898,456.547466447573,71.2291103358929,293.495153748075,184.670623922781,186.19587358156,0,71.233500903354,263.011570068522,139.643506444558,116.735409257308,410.591607814982
"Sadie",322.804532296527,142.238311920464,317.843470997121,149.038701887106,35.9348542766736,256.722074343378,314.014873644687,327.318023338258,366.626694908732,208.289551957325,294.365910674479,3.35968380550085,26.678181374519,57.4217880186211,75.6149205747938,352.030993722408,297.842095339213,237.977635013694,425.571903190693,54.241061534214,240.912691406096,149.607443106314,145.181518468024,71.233500903354,0,218.035693255262,207.024373780954,177.26840249954,374.578404900635
"Sally",105.936819619006,154.892344192141,100.516925902909,75.510587361913,191.546380780668,455.686398337837,100.133939691664,109.282548432051,149.166880364575,69.8882955982756,76.5502623700463,214.68927975941,238.753435333367,247.612421172696,272.840847135801,530.757222916807,88.1443440319794,435.813004976932,215.15484784118,191.783205051451,45.7492000563853,81.4476049004142,76.8695228988548,263.011570068522,218.035693255262,0,396.360122282871,379.504008511959,159.808208513629
"TeenMom",490.224390672073,349.166401660219,495.009510823489,320.865293392658,242.912959897553,63.0719132119177,476.879928962326,500.20573377922,533.458547944903,406.480897069484,470.553954211775,209.312214896359,205.754324957964,155.742193537656,132.467486715211,145.237081393812,457.748841415199,44.0476039468381,574.352262568805,207.549249459357,430.202380633229,315.450045173415,319.938524149823,139.643506444558,207.024373780954,396.360122282871,0,43.9324916989251,534.135822533782
"Themeda",477.626327788548,317.655503858031,479.528152480746,304.343803846405,213.009436041504,79.4536913753109,465.426233171003,486.087207922881,521.410849404164,382.703642987851,455.168569318836,179.936914277865,171.791829425333,132.542180960366,107.476429897059,181.687553199463,446.874941734327,60.9735473822712,567.630541492721,187.81784369678,410.144773338477,300.265255693339,302.637312462988,116.735409257308,177.26840249954,379.504008511959,43.9324916989251,0,524.159598420374
"Zaza",55.0005713797948,307.051114278102,78.5973567837138,225.953726812974,350.408024457847,596.12418416226,60.5746327117322,61.7005583333662,25.7871881679125,205.983986541714,91.9404456379755,371.219722204722,396.786684658901,396.359495467087,421.09044327284,657.125044332334,77.5942945338327,576.256210027995,58.9388114312158,340.797391305048,158.674646108827,227.149334612882,229.47331376167,410.591607814982,374.578404900635,159.808208513629,534.135822533782,524.159598420374,0
